
> land-property-asset-management-frontend@1.0.0 lint
> eslint src --ext .ts,.tsx --format=compact

D:\ccode\zcgl\frontend\src\App.tsx: line 61, col 27, Warning - Unsafe assignment of an `any` value. (@typescript-eslint/no-unsafe-assignment)
D:\ccode\zcgl\frontend\src\App.tsx: line 61, col 27, Warning - Unexpected any value in conditional. An explicit comparison or type conversion is required. (@typescript-eslint/strict-boolean-expressions)
D:\ccode\zcgl\frontend\src\App.tsx: line 61, col 43, Warning - Unsafe member access .from on an `any` value. (@typescript-eslint/no-unsafe-member-access)
D:\ccode\zcgl\frontend\src\api\client.ts: line 42, col 7, Warning - Unsafe assignment of an `any` value. (@typescript-eslint/no-unsafe-assignment)
D:\ccode\zcgl\frontend\src\api\client.ts: line 99, col 9, Warning - Unexpected console statement. (no-console)
D:\ccode\zcgl\frontend\src\api\client.ts: line 121, col 16, Warning - Unexpected nullable string value in conditional. Please handle the nullish/empty cases explicitly. (@typescript-eslint/strict-boolean-expressions)
D:\ccode\zcgl\frontend\src\api\client.ts: line 122, col 16, Warning - Unexpected nullable number value in conditional. Please handle the nullish/zero/NaN cases explicitly. (@typescript-eslint/strict-boolean-expressions)
D:\ccode\zcgl\frontend\src\api\client.ts: line 179, col 13, Warning - Unexpected nullable string value in conditional. Please handle the nullish/empty cases explicitly. (@typescript-eslint/strict-boolean-expressions)
D:\ccode\zcgl\frontend\src\api\client.ts: line 179, col 22, Warning - Unexpected object value in conditional. The condition is always true. (@typescript-eslint/strict-boolean-expressions)
D:\ccode\zcgl\frontend\src\api\client.ts: line 184, col 13, Warning - Unexpected object value in conditional. The condition is always true. (@typescript-eslint/strict-boolean-expressions)
D:\ccode\zcgl\frontend\src\api\client.ts: line 190, col 11, Warning - Unsafe assignment of an `any` value. (@typescript-eslint/no-unsafe-assignment)
D:\ccode\zcgl\frontend\src\api\client.ts: line 201, col 13, Warning - Unexpected nullable boolean value in conditional. Please handle the nullish case explicitly. (@typescript-eslint/strict-boolean-expressions)
D:\ccode\zcgl\frontend\src\api\client.ts: line 202, col 11, Warning - Unexpected console statement. (no-console)
D:\ccode\zcgl\frontend\src\api\client.ts: line 203, col 13, Warning - Unsafe assignment of an `any` value. (@typescript-eslint/no-unsafe-assignment)
D:\ccode\zcgl\frontend\src\api\client.ts: line 204, col 13, Warning - Unsafe assignment of an `any` value. (@typescript-eslint/no-unsafe-assignment)
D:\ccode\zcgl\frontend\src\api\client.ts: line 211, col 9, Warning - Unexpected console statement. (no-console)
D:\ccode\zcgl\frontend\src\api\client.ts: line 219, col 13, Warning - Unexpected nullable boolean value in conditional. Please handle the nullish case explicitly. (@typescript-eslint/strict-boolean-expressions)
D:\ccode\zcgl\frontend\src\api\client.ts: line 220, col 11, Warning - Unexpected console statement. (no-console)
D:\ccode\zcgl\frontend\src\api\client.ts: line 222, col 13, Warning - Unsafe assignment of an `any` value. (@typescript-eslint/no-unsafe-assignment)
D:\ccode\zcgl\frontend\src\api\client.ts: line 237, col 13, Warning - Unexpected nullable boolean value in conditional. Please handle the nullish case explicitly. (@typescript-eslint/strict-boolean-expressions)
D:\ccode\zcgl\frontend\src\api\client.ts: line 238, col 11, Warning - Unexpected console statement. (no-console)
D:\ccode\zcgl\frontend\src\api\client.ts: line 239, col 13, Warning - Unsafe assignment of an `any` value. (@typescript-eslint/no-unsafe-assignment)
D:\ccode\zcgl\frontend\src\api\client.ts: line 239, col 27, Warning - Unsafe member access .config on an `any` value. (@typescript-eslint/no-unsafe-member-access)
D:\ccode\zcgl\frontend\src\api\client.ts: line 240, col 13, Warning - Unsafe assignment of an `any` value. (@typescript-eslint/no-unsafe-assignment)
D:\ccode\zcgl\frontend\src\api\client.ts: line 240, col 29, Warning - Unsafe member access .response on an `any` value. (@typescript-eslint/no-unsafe-member-access)
D:\ccode\zcgl\frontend\src\api\client.ts: line 275, col 9, Warning - Unexpected nullable boolean value in conditional. Please handle the nullish case explicitly. (@typescript-eslint/strict-boolean-expressions)
D:\ccode\zcgl\frontend\src\api\client.ts: line 277, col 13, Warning - Unsafe assignment of an `any` value. (@typescript-eslint/no-unsafe-assignment)
D:\ccode\zcgl\frontend\src\api\client.ts: line 278, col 11, Warning - Unexpected any value in conditional. An explicit comparison or type conversion is required. (@typescript-eslint/strict-boolean-expressions)
D:\ccode\zcgl\frontend\src\api\client.ts: line 279, col 13, Warning - Unexpected nullable boolean value in conditional. Please handle the nullish case explicitly. (@typescript-eslint/strict-boolean-expressions)
D:\ccode\zcgl\frontend\src\api\client.ts: line 280, col 11, Warning - Unexpected console statement. (no-console)
D:\ccode\zcgl\frontend\src\api\client.ts: line 284, col 11, Warning - Unsafe assignment of an `any` value. (@typescript-eslint/no-unsafe-assignment)
D:\ccode\zcgl\frontend\src\api\client.ts: line 295, col 11, Warning - Unexpected nullable boolean value in conditional. Please handle the nullish case explicitly. (@typescript-eslint/strict-boolean-expressions)
